	_id	about	about_en	category	checked	description	description_en	engagement	error	id	likes	location	name	name_en	phone	phone_en	relevant	retrieved	start_info	start_info_clean	talking_about_count	website	website_en
866	{u'$oid': u'56129647c5fd9419732f75b5'}		Arab Bureau to support and provide asylum - guarantees - requests Lawyers Manson - abandoned - workers - rejected requests	Consulting/Business Services	[1445904444]		"Arab Bureau to assist in the provision of asylum and immigration applications //
- Finding sponsors - appeal rejected applications - Follow-up files - new files -"	175		1.57980362891e+15	175.0	{u'street': u'مالبورن / استراليا'}	المكتب العربي الاسترالي  للاستشارات  القانونية لبرامج اللجوء	australian arab bureau  lla_i_arat legal recourse programs				1444058572.98	{u'date': {u'year': 2010, u'day': 22, u'month': 9}, u'type': u'Founded'}	2010/9/22	17.0	https://facebook.com/	
25	{u'$oid': u'55fb3cecc5fd9455673c24d1'}			Community Organization	[1444678750, 1449108634, 1449343311, 1449604872, 1449843548, 1450197544]			31034		3.63191530387e+14	31034.0	{u'city': u'Damascus', u'country': u'Syria'}	syrian atheists	syrian atheists				1442528439.0	{u'date': {u'year': 2011}, u'type': u'Founded'}	2011	2827.0	https://www.facebook.com/atheists.sy	https://www.facebook.com/atheists.sy
45	{u'$oid': u'55fb41c2c5fd9455673c387f'}		"With the start of the configuration ** *** life began movements were related ..oaharkat broken ... and afternoon event
https://twitter.com/SyrianEvent
https://www.youtube.com/Syrianevent"	Community	[1447158961]		"Something nice to know what was going from the events around you, but you know that the most beautiful events before they appear and with the start posed to you thus contributing to appear presence or to resist it ... and have your existence if ..many

https://twitter.com/SyrianEvent
https://www.youtube.com/Syrianevent"	26534		2.6154966727e+14	26534.0		الحدث السوري syrian event	syrian event syrian event				1442529635.97	{u'date': {u'year': 2011}, u'type': u'Founded'}	2011	1822.0	https://www.facebook.com/syrian.event2	
75	{u'$oid': u'55fb6612c5fd9455673c8498'}		"Faraway share one fate and one ..

Together until victory."	Community	[1447172718]		"Our identity and one stamped with pride and dignity
Name: Syria Algeria
Age: Date of the glories of the nation did not know subservience
Trademarks: Resistance
Box:
* Hama Diar Peace be upon you
Abt DEAR souls that humiliates
Den of Arabism haram house
And the throne of the Suns fever does not Adham
The souls of his father and a glorious past
And the spirit of sacrifice sergeant
Our mouth and our newborn Rasheed
Why not prevail did not applaud?
* Cry of nations journeyed Feda
Asamaoha and Respond to Nada
The blood of the martyrs Aketboha
And read out to the children of tomorrow Generation
We have extended the hand you Aamjad
And we are determined to live Algeria"	3150		2.63305980364e+14	3150.0	{u'street': u'الجزائر  الجزائر', u'zip': u'16000'}	سوريا الجزائر	syria algeria				1442538785.74	{u'date': {u'year': 2011}, u'type': u'Unspecified'}	2011	454.0		
111	{u'$oid': u'55fca33cc5fd9455673d4c7f'}		"www.SyriaHurra.com
From the land of Syria and abroad, brought us the term ""free Syria"" to be a title for us and is an ideal for our work.
Let us work together to build a free Syria."	Cause	[1447408606]		"From the land of Syria and abroad, brought us the term ""free Syria"" to be a title for us and is an ideal for our work.
Let us work together to build a free Syria, Syria, such as those dreamed of all Syrian youth in all parts of the ground.

Our motto freedom of expression and acceptance of others, and our way location starts with you ""free Syria"" and together we will continue the journey towards a new Syria,
Syria each Syrians.
 
Long live free Syria."	6001		4.32960726749e+14	6001.0		سوريا حرة	syria is free				1442619996.48	{u'date': {u'year': 2011}, u'type': u'Launched'}	2011	22.0	http://www.syria-hurra.com/	
771	{u'$oid': u'560629c3c5fd94556740f376'}			Travel/Leisure	[1445331221]		Insurance Road transport sea from Turkey to Greece and Italy	1488		2.0760659593e+14	1488.0	{u'street': u'تركيا', u'zip': u'0090212'}	الهجره الى اوروبا	migration to europe	00905315459653			1443244423.19	{u'date': {u'year': 2011}, u'type': u'Unspecified'}	2011	11.0		
355	{u'$oid': u'5602c7b7c5fd9455673f1a4d'}			Community	[1445016955]		"Crossed a group of Tunisian and Tunisian residents Ukraine expressed their willingness and desire to establish a co-ordinating the Popular Front, Ukraine
 Call remain open to all who wish to support the Popular Front for admission Besvovha and struggle with it in order to complete the tasks of the revolution"	675		3.02667566455e+14	675.0	{u'city': u'Donetsk', u'country': u'Ukraine'}	الجبهة الشعبية أوروبا الشرقية народный фронт восточной европе	popular front of eastern europe народный фронт восточной европе	00380639422688			1443022509.48	{u'date': {u'year': 2011, u'day': 20, u'month': 2}, u'type': u'Opened'}	2011/2/20	0.0	ahmedmadridiste@gmail.com	ahmedmadridiste@gmail.com
185	{u'$oid': u'5601f2e5c5fd9455673e2103'}		Legal and illegal immigration and other news scattered on the subject	Media/News/Publishing	[1447551287]		"Site to know each other and learn from our experiences in the legal and non-legal immigration so as not to fall into the fatal errors of our involvement prison or lethal sense of the word to kill us and our families
Snhdzqm about the experiences we have lived and we live and, God willing, we will be a liaison between migrants and their families and their friends in the world and call on God to be with every brother and sister in the Diaspora to return and not receive his family and his loved ones again and realize their dreams
Migration to Europe Team"	3976		1.63027510428e+14	3976.0	{u'city': u'Stockholm', u'zip': u'15250', u'country': u'Sweden', u'longitude': 17.9677792, u'street': u'Burrstigen 4 Södertälje', u'latitude': 59.2890701}	immigration to europe الهجرة الى أوروبا	immigration to europe migration to europe				1442967755.61	{u'date': {u'year': 2011, u'month': 5}, u'type': u'Launched'}	2011/5	14.0	www.immigrate-2-europe.com	www.immigrate-2-europe.com
107	{u'$oid': u'55fc9f93c5fd9455673d4a18'}		The most daring in the event .. transfer ..	Media/News/Publishing	[1444800042]			150642		2.13849965319e+14	150642.0		شبكات أخبار سوريا المتحدة / f.s.n.n	united networks syria news / fsnn	<<not-applicable>>			1442618926.71	{u'date': {u'year': 2011, u'day': 15, u'month': 7}, u'type': u'Launched'}	2011/7/15	4810.0		
22	{u'$oid': u'55fb3be8c5fd9455673c2244'}			Community	[1444675105, 1449083573, 1449318204, 1449588007, 1449828924, 1450190864]			15544		5.46954078684e+14	15544.0		syrian perspective					1442528180.21	{u'date': {u'year': 2012}, u'type': u'Founded'}	2012	4277.0	http://syrianperspective.com	
60	{u'$oid': u'55fb5ba7c5fd9455673c3b05'}		"Share page and invite your friends. Click here
http://on.fb.me/YdcQMr
We want to be with you in paradise"	Community	[1444660270, 1449019056, 1449216831, 1449545612, 1449786697, 1450134192]		"Mahmoum O ..
O debtor ..
Dear patient ..
O needy ..
Elmejrouh O ..
Almklop O ..
O sad ..
Orphan O ..
Aseptic O ..
Dear bachelor ..
Whatever you are ..! Close your eyes .. and I leave everything in your hands and felt the humiliation and subordination to God Almighty Anscar Say .. [Iaaaaarb] ..
I cried Vastbhr though he would not let you down .. As sensed greatness in your heart now sensed proximity Almighty .. you will not let you down."	2445		2.94652697213e+14	2445.0		مهاجرون إلى الجنة	immigrants to paradise				1442536304.92	{u'date': {u'year': 2012}, u'type': u'Founded'}	2012	12.0	https://www.facebook.com/groups/187478014650142/	
205	{u'$oid': u'56020d94c5fd9455673e4381'}			Community	[1444839397]			440		4.88605487818e+14	440.0		اوروبا تنادي	europe calling				1442975031.09	{u'date': {u'year': 2012}, u'type': u'Founded'}	2012	1.0		
570	{u'$oid': u'5603b7d0c5fd94556740376e'}		Independent political page is not affiliated to any party	Community	[1445081322]			281		3.89548171086e+14	281.0		shivane serbxwe تجمع الشباب المستقلين في اوروبا	shivane serbxwe independent gathering of young people in europe				1443083814.95	{u'date': {u'year': 2012}, u'type': u'Founded'}	2012	0.0		
240	{u'$oid': u'56023ca5c5fd9455673e792e'}		Salam 3alikom cliki jaime invited friends and -999 Fan nebdaw <3.	Community	[1444933064]			155		2.20564997997e+14	155.0		أوروبا الروجية	europe alroujeh				1442987063.49	{u'date': {u'year': 2012}, u'type': u'Started'}	2012	0.0	www.amour.fr	
26	{u'$oid': u'55fb3d03c5fd9455673c2502'}			Media/News/Publishing	[1446358770]			20519		2.98382103531e+14	20519.0		syria 24 english	syria 24 english				1442528493.25	{u'date': {u'year': 2012, u'day': 1, u'month': 1}, u'type': u'Founded'}	2012/1/1	2439.0	http://twitter.com/syria24english - http://www.youtube.com/syria24english , http://www.ustream.tv/channel/syria24english / http://syria24english.yolasite.com/	http://twitter.com/syria24english - http://www.youtube.com/syria24english , http://www.ustream.tv/channel/syria24english / http://syria24english.yolasite.com/
661	{u'$oid': u'56040d4ac5fd945567407c7d'}		Immigrants without rights	Community	[1444660453, 1449019356, 1449217158, 1449545965, 1449787065, 1450134494]		Specialized page for the dissemination of the rights of migrants in the laws, religions and introduce them to her and to highlight their reality	1772		2.75140722607e+14	1772.0		مهاجرون بلا حقوق	immigrants without rights				1443105995.64	{u'date': {u'year': 2012, u'month': 10}, u'type': u'Founded'}	2012/10	6.0		
942	{u'$oid': u'56144301c5fd9419732f9c5a'}		Kind of	Community	[1448738633]		The school did not love / scientific issue that is not learned	70		4.44197185637e+14	70.0		مهربانی	kindness				1444168383.58	{u'date': {u'year': 2012, u'day': 29, u'month': 11}, u'type': u'Launched'}	2012/11/29	0.0	<<not-applicable>>	
120	{u'$oid': u'560060dbc5fd9455673d6953'}		France Germany Spain Italy Netherlands Belgium Angeltry immigrants	Community	[1444399671, 1448999397, 1449184117, 1449507591, 1449612683, 1450109772, 1450201665]			22916		3.07091372653e+14	22916.0		اخبار المهاجرين في اوروبا	news of migrants in europe				1442864373.17	{u'date': {u'year': 2012, u'day': 1, u'month': 3}, u'type': u'Created'}	2012/3/1	477.0	http://1.bp.blogspot.com/_lZKydTj5FPg/TThEsssUXwI/AAAAAAAAAyE/5NPpPcLkjVI/s400/France-Spain.jpg	
149	{u'$oid': u'5601ad5fc5fd9455673ddbaf'}		"Europe today (the first Egyptian newspaper in Europe)

(Issued by the General Union of Egyptians in Europe)"	Media/News/Publishing	[1447498923]		Egyptians bother to follow up news in Egypt and abroad in general and in Europe in particular,	759		1.40211496109e+14	759.0	{u'city': u'Amsterdam', u'zip': u'1090GJ', u'country': u'Netherlands', u'longitude': 4.794095, u'street': u'P.O. Box 94397', u'latitude': 52.29959}	europalyoum أوروبا اليوم	europalyoum europe today				1442949202.93	{u'date': {u'year': 2012, u'month': 4}, u'type': u'Launched'}	2012/4	7.0	http://www.akhbarhollanda.com	http://www.akhbarhollanda.com
115	{u'$oid': u'55fca7d6c5fd9455673d5169'}		Syria history and civilization	Community	[1447462705]		"Syria is one of the richest land the country's diversity of civilizations, antiquities and monuments, like the diverse nature of the desert to the mountains, plains, sea and rivers, and this land was the beginnings of the major cultural achievements, which were made by the inhabitants of this land with their efforts and the accumulation of experience, they are the ancient ancestors first anglers, who are one of the first who worked agriculture and founded the first agricultural settlements. In Ugarit, which introduced the first color and the first musical forums also were able to be brought to mankind tender which is the most expensive first alphabet known to man.


It Ugarit, Phoenician ships sailed to Carthage and to the whole world publisher of civilization in all parts of the globe.

Syria gave Rome some of the emperors such as Philip the Arab and Caracalla and Aelagabal and excelled where celebrities have left a clear mark Kalmammar Apollodorus Damascus owner of the famous Trajan's Column in Rome, and the builder of the Danube Bridge, and Syria was the Byzantine churches rely reference in ecclesiastical architecture in the whole world, such as Simon Church Engineering vertical and Knyshqlb tonsil and many many more.

Punish Syrian land peoples and civilizations for many: the Sumerians and the Amorites and the Akkadian and the Hittites and the Pharaohs, and Alhurion, Assyrians, Canaanites and Arameans, Persians, Greeks, Seleucids and Ptolemies and the Romans and the Nabatean Arabs, the Byzantines, the Arabs Ghassanid, then it was the Arab Muslim conquest and inevitably followed by periods of Umayyads, Abbasids, Ataiwlaunayn, Alakhcidiin, Fatimids, and suffered to the Franks, """" multiple eras of the Seljuks and Atabegs and state Romani and Ayyubid and Mamluk Crusades campaigns also came under Mongol invasions ""Tatars"", then ruled by the Ottomans until came the Great Arab Revolt, and placed Syria, then under French mandate, until he was evacuated in 1946 where out another soldier occupier.

And the effects of these successive civilizations that lie visible in the present day are much less than those that are still sitting under the soil of Syria, waiting to be discovered, it is disk, and Mary, and the role Oorobos, and Apamea, and destroy, and Rusafa, and Bosra and Shahba, and the many castles scattered like Shayzar Castle, Castle Strait, the Citadel of Saladin, margat, Krak des Chevaliers, Ja'bar Castle, temples, theaters, baths, churches and monasteries, mosaics and sculptures and inscriptions, and channels the water, and cemeteries and Islamic monuments from the dawn of Islam to the present day, wherein the first School of Medicine was established, and the first Bimaristan, and developed the scientists astronomy engineering, mathematics, medicine, philosophy, and the watch industry and astrolabes.
With regards to the team
M.vhma Sairafi ........ Abeer role"	14327		3.18481594891e+14	14327.0		syria. history and civilization					1442620964.59	{u'date': {u'year': 2012, u'day': 23, u'month': 4}, u'type': u'Founded'}	2012/4/23	74.0		
105	{u'$oid': u'55fc9dacc5fd9455673d4830'}		"Syria has taught me
Hope that has no boundaries
And that the more difficult the road
And more filled with thorns
The end of the coolest and most beautiful
.
I love Syria"	Community	[1447405731]			1672		4.87157587985e+14	1672.0		سوريا الجريحة	syria wounded				1442618631.24	{u'date': {u'year': 2012, u'day': 22, u'month': 5}, u'type': u'Founded'}	2012/5/22	18.0	tshevoo@hotmail.com	tshevoo@hotmail.com
1043	{u'$oid': u'5614d0f3c5fd9419732fe364'}		A little chat with our God ....	Community	[1445938900]			395		4.24811137563e+14	395.0		به خدای مهربون نوشت.	god wrote the kind.				1444204211.85	{u'date': {u'year': 2012, u'day': 14, u'month': 6}, u'type': u'Founded'}	2012/6/14	1.0		
995	{u'$oid': u'561480c5c5fd9419732fb9b4'}		Donations and bounties to the liquidator to: Card Number: 8316-0315-2910-5022	Community	[1448985328]		"pasargad Bank
Account number 1-259634-800-282
Name: Snoopy Ryhanyan"	47		3.33533653407e+14	47.0		همیشه مهربان ، همیشه ایرانی	always friendly  always in iran				1444184094.06	{u'date': {u'year': 2012, u'day': 16, u'month': 8}, u'type': u'Started'}	2012/8/16	0.0		
1100	{u'$oid': u'56152eddc5fd941973301283'}		My own conversations and loving God	Community	[1445984751]		Remember nowhere so busy that you can not get a moment alone with God ...	2922		2.79136195533e+14	2922.0		من و خدای مهربون	i kind god				1444227916.36	{u'date': {u'year': 2012, u'day': 7, u'month': 8}, u'type': u'Opened'}	2012/8/7	10.0	<<not-applicable>>	
236	{u'$oid': u'560238a2c5fd9455673e7636'}		Fully prepared to receive students at the airport with secure accommodation bookings, hotels, student accommodation	Company	[1444930788]		"We provide all acceptances bachelor's degree and Master
Business Administration
Applied Mathematics
Energy and Raw Materials
Chemistry
Power Systems Technologies
Geoenvironmental Engineering
Computer Science
Mechanical Engineering
Materials Science and Engineering
Geosciences of Raw Materials
Technical Informatics
Process Engineering / Chemical Engineering
Business Informatics
Industrial Engineering"	2705		5.05424819508e+14	2705.0	{u'street': u'قطاع غزة'}	المستقبل للدراسة في اوروبا	the future to study in europe	0592102171		0.0	1442985624.92	{u'date': {u'year': 2013}, u'type': u'Founded'}	2013	85.0		
1101	{u'$oid': u'561533f9c5fd9419733014b4'}		Fazgh of concerns and problems together refinement, friendship cafe to drink ;-)	Community	[1445986019]			447		1.36237573233e+14	447.0		یه دوست مهربون	a kind friend				1444228839.94	{u'date': {u'year': 2013}, u'type': u'Unspecified'}	2013	2.0		
952	{u'$oid': u'56144ae7c5fd9419732fa0a1'}		Only the memories remain Mhrbanyst	Community	[1448748509]			847		3.48003641974e+14	847.0		مهربانی	kindness				1444170164.07	{u'date': {u'year': 2013}, u'type': u'Founded'}	2013	1.0		
663	{u'$oid': u'56041764c5fd945567407e19'}		Plate Holy Almqvdh only	Travel/Leisure	[1444661242, 1449020239, 1449218107, 1449547030, 1449788257, 1450135347]			69		1.7459393604e+14	69.0		مهاجرون بلا حدود  18	immigrants without borders  18				1443108640.92	{u'date': {u'year': 2013}, u'type': u'Founded'}	2013	0.0		
967	{u'$oid': u'561458a5c5fd9419732fa4d3'}		"just happy
Happy and kind that you do not need to worry about the big nose and short and bald and size you ... all you're Hyklt"	Community	[1448898737]			48		6.12918988741e+14	48.0		مهربونی و شادی	kindness and happiness				1444173723.81	{u'date': {u'year': 2013}, u'type': u'Founded'}	2013	0.0		
943	{u'$oid': u'56144384c5fd9419732f9c75'}		Bitter taste alone	Local Business	[1448738792]		Bitter taste alone	523		5.41241552574e+14	523.0	{u'latitude': 35.69439, u'city': u'Tehran', u'street': u'Tehran', u'longitude': 51.42151, u'country': u'Iran'}	سلام مهربونم،ما اینجاییم که تنها نباشی	mhrbvnm hello  we are the only boy	09380136609			1444168460.65	{u'date': {u'year': 2013, u'day': 31, u'month': 1}, u'type': u'Unspecified'}	2013/1/31	1.0		
692	{u'$oid': u'56050aa0c5fd94556740a598'}		The dream of every young	Community	[1445295763]			9565		1.44944107528e+15	9565.0		اوروبا الحلم الضائع	europe lost dream				1443170487.13	{u'date': {u'year': 2013, u'day': 22, u'month': 12}, u'type': u'Launched'}	2013/12/22	6.0		
413	{u'$oid': u'560317dfc5fd9455673fa0ed'}		"I love my country but national does not like me, the more I grew Sabri shortages and increased Imnapl unfortunately adore Europe
We are not the best but we also aspire to me"	Community	[1448682228]		"Algerian official page of its members are suffering in their country and want to emigrate to Europe ♥

 ▓▒░ MàDe In Algérià ░▒▓"	2985		5.28398377192e+14	2985.0		الهجرة نحو اوروبا	immigration to europe				1443043035.16	{u'date': {u'year': 2013, u'day': 12, u'month': 2}, u'type': u'Opened'}	2013/2/12	5.0		
311	{u'$oid': u'5602882bc5fd9455673ed6ca'}		"Europe lovers ... I will not say 'we are the best' but we Nhterv 'creativity
Øßĵĕĉŧĭƒ ====> 100.000 ƒąŅş"	Local/Travel Website	[1444972284]		"No place for men and semiconductor Amoostachat us

Greetings to everyone Zooom me to shine and daughters Alwamylah

That you appreciate our efforts we have helped in the dissemination of page"	3583		2.74063192715e+14	3583.0	{u'city': u'Theveste', u'country': u'Algeria'}	حلم الشباب الهجرة إلى أوروبا ŧø ěŭřøpĕ	dream high immigration to europe ŧø ěŭřøpĕ	<<not-applicable>>			1443005995.34	{u'date': {u'year': 2013, u'day': 14, u'month': 2}, u'type': u'Started'}	2013/2/14	5.0	<<not-applicable>>	
884	{u'$oid': u'5612a762c5fd9419732f7df6'}		We are not an official party and offer any advice only we can not secure the Visa or provide a certain way to get to Sweden (please understand that)	Media/News/Publishing	[1445912214]		Our goal in this page only insurance advice and introduce you to resort to the laws of Sweden nothing to do with us to travel to Sweden ways (please understand that)	12756		7.30763373634e+14	12756.0	{u'city': u'Stockholm', u'zip': u'11751', u'country': u'Sweden', u'longitude': 18.0090408, u'street': u'sweden', u'latitude': 59.3389893}	اللجوء الى السويد	resorting to sweden	00966541036994			1444061561.96	{u'date': {u'year': 2013, u'day': 2, u'month': 2}, u'type': u'Born'}	2013/2/2	69899.0	https://www.youtube.com/user/mhmod6341	
133	{u'$oid': u'56016c3ac5fd9455673d83a6'}		"█║▌│█│║││█║ │║█║▌ Europe's future Europe of my life ... ♥ .. We Are Coming Europe ..
♥ Page b mentality European ♥"	Community	[1444407752, 1449007265, 1449199419, 1449525780, 1449624819, 1450115236]			3887		4.49543831789e+14	3887.0		اوروبا مستقبلي	europe s future				1442933028.05	{u'date': {u'year': 2013, u'day': 15, u'month': 3}, u'type': u'Unspecified'}	2013/3/15	7.0	https://www.facebook.com/pages/%D8%A7%D9%88%D8%B1%D9%88%D8%A8%D8%A7-%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84%D9%8A/449543831789061	
484	{u'$oid': u'560364b1c5fd9455673fe43b'}		♥ living in Britain Hania ♥ ╓╦≡╦	Community	[1445039898]			325		6.26762400691e+14	325.0		عٌــ’ــشَّاقٌ اٌورُوباَ	a hak europe				1443062783.2	{u'date': {u'year': 2013, u'day': 24, u'month': 5}, u'type': u'Opened'}	2013/5/24	3.0	<<not-applicable>>	
361	{u'$oid': u'5602d07dc5fd9455673f200e'}		l3icha f the tronji nchalh	Community	[1445018653]			3273		1.63066763867e+14	3273.0		عُشّٓآقْ أوُرُوبٓآ	lovers europe				1443024839.36	{u'date': {u'year': 2013, u'day': 26, u'month': 5}, u'type': u'Founded'}	2013/5/26	3.0		
306	{u'$oid': u'56027fa0c5fd9455673ec740'}		Alexandria two o'clock Europe	Community	[1444966837]			277		1.50738395098e+14	277.0		alexandria the second europe					1443004014.35	{u'date': {u'year': 2013, u'day': 3, u'month': 7}, u'type': u'Started'}	2013/7/3	4.0		
80	{u'$oid': u'55fc7642c5fd9455673cde98'}		<3 my Syria <3 ,, has surpassed even her love child	Media/News/Publishing	[1447281067]		"We are people of the heart and pulse of the street
Osdna Bashar support and trust him blindly trust and we know that Syria will lead to safety and routed all tyrants and save us from all the traitors ..

Thank our military valiant ..hkura fair to Osdna
Thank you black place ,, Thank you, protectors of time <3 <3"	106905		2.00901276749e+14	106905.0	{u'latitude': 33.4940326, u'city': u'Damascus', u'longitude': 36.3144295307, u'zip': u'0000000', u'country': u'Syria'}	كلنا سوريا	we all syria	<<not-applicable>>			1442608149.71	{u'date': {u'year': 2013, u'day': 8, u'month': 9}, u'type': u'Created'}	2013/9/8	9015.0	<<not-applicable>>	
245	{u'$oid': u'560240e8c5fd9455673e7f02'}		"Page lie under the slogan and sponsored by the European Zol sale in the country g Karh Amoostachat """	Local Business	[1444937070]			3113		5.3068453703e+14	3113.0	{u'city': u'Dellys', u'zip': u'00000', u'country': u'Algeria', u'longitude': 3.91311, u'street': u'Alger', u'latitude': 36.91716}	statut pub					1442988138.54	{u'date': {u'year': 2014}, u'type': u'Founded'}	2014	3.0		
482	{u'$oid': u'5603639ac5fd9455673fe32b'}			Cause	[1445039571]		"Collective Mozabites in Europe- رابطة المزابيين في أوروبا
its goal is to unite all Mozabites- هدفها توحيد كل المزابيين"	3237		2.04548539736e+14	3237.0		collectif des mozabites en europe  رابطة المزابيين في أوروبا	collectif des mozabites en europe  almzabeyen association in europe				1443061929.54	{u'date': {u'year': 2014, u'day': 11, u'month': 1}, u'type': u'Founded'}	2014/1/11	6.0	http://www.mzab.eu/	
659	{u'$oid': u'56040766c5fd945567407b05'}		Europe's dream lost among the sea	Travel/Leisure	[1448703037]		Europe's dream lost among the sea	759		3.88664654551e+14	759.0	{u'latitude': 34.68653, u'city': u'Oujda', u'street': u'اوروبا حلم ضائع', u'longitude': -1.90937, u'country': u'Morocco'}	scoop l europe	scoop l europe				1443103979.89	{u'date': {u'year': 2014, u'day': 5, u'month': 9}, u'type': u'Founded'}	2014/9/5	2.0		
